Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
JaMychal Green,2,,PF,4600,MEM,BKN,1,104,19,16,101,109,-5%,7,6,8,22,22,24,22.3,22.6,14.6,30.7,22.5,20.5,4.5,19.2,19.4,4.2
Jeremy Lin,,,PG,4600,ATL,@MIL,1,108,23,17,105,102,-7%,7,6,7,20,20,19,21.5,19.8,9.5,30.1,20.0,20.0,4.3,20.7,21.2,4.6
Tyreke Evans,,,SF,4600,IND,@CHI,3,104,26,12,101,107,0%,8,8,10,19,17,21,17.3,20.2,11.7,28.8,19.0,18.1,3.9,18.4,17.9,3.9
Jaylen Brown,4,,SG,4500,BOS,DAL,1,109,21,11,103,106,3%,11,9,11,30,25,27,22.4,21.8,12.4,31.3,31.0,27.5,6.1,27.4,34.4,7.6
Jabari Parker,,O,SF,4500,CHI,IND,1,97,24,13,101,101,-1%,7,11,14,23,26,31,22.5,28.1,17.4,38.8,0.0,0.0,0.0,14.3,9.3,2.1
Kentavious Caldwell-Pope,5,,SG,4500,LAL,NYK,1,115,16,13,103,112,2%,18,11,8,31,29,23,23.7,17.0,7.9,26.1,30.0,23.5,5.2,36.1,30.7,6.8
Alec Burks,3,,SG,4500,CLE,UTA,1,100,20,12,102,104,-13%,11,10,9,34,31,23,23.9,18.9,8.3,29.5,28.0,22.4,5.0,29.6,25.6,5.7
Rodions Kurucs,,,PF,4500,BKN,@MEM,1,100,18,14,97,104,-5%,6,8,7,24,28,20,20.5,15.8,5.6,25.9,25.5,19.8,4.4,13.2,8.2,1.8
Jose Juan Barea,,,PG,4500,DAL,@BOS,1,104,30,18,102,103,-4%,7,8,10,17,21,20,22.0,22.7,14.6,30.8,19.5,20.5,4.6,17.7,10.8,2.4
De'Anthony Melton,2,,PG,4500,PHO,LAC,1,115,18,10,104,109,10%,6,6,7,25,25,21,19.8,18.0,7.9,28.2,25.5,21.9,4.9,16.1,16.0,3.6
Bam Adebayo,2,,PF,4400,MIA,WAS,1,109,16,17,104,110,4%,4,5,5,21,22,22,18.2,22.6,12.5,32.7,19.0,19.5,4.4,18.5,31.9,7.2
Shai Gilgeous-Alexander,1,,PG,4400,LAC,@PHO,2,119,17,13,102,111,9%,5,6,8,21,22,27,13.3,20.9,10.9,30.9,23.0,18.7,4.2,18.5,23.1,5.3
Ed Davis,0,,PF,4400,BKN,@MEM,1,100,13,18,97,104,-8%,4,4,4,21,20,18,23.1,18.9,11.7,26.0,18.5,17.2,3.9,21.1,15.8,3.6
Dion Waiters,,,SG,4300,MIA,WAS,1,109,,,104,110,-3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12.0,10.1,2.3,0,0.0,0.0
Jonathan Isaac,,,SF,4300,ORL,@MIN,1,105,16,12,103,108,4%,7,8,7,24,27,25,18.7,20.5,13.1,27.9,27.5,21.4,5.0,28.7,21.6,5.0
Wayne Ellington,,,SG,4300,MIA,WAS,1,109,16,10,104,110,-3%,0,2,7,2,6,22,1.5,15.0,3.3,26.7,0.0,0.0,0.0,0,0.0,0.0
Denzel Valentine,,O,SF,4300,CHI,IND,1,97,,,101,101,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Allen Crabbe,,O,SG,4200,BKN,@MEM,1,100,17,8,97,104,-2%,10,10,9,31,32,26,25.2,16.8,7.7,25.8,0.0,0.0,0.0,0,0.0,0.0
Mohamed Bamba,,,C,4200,ORL,@MIN,1,105,,,103,108,-5%,6,6,6,19,15,17,16.7,18.3,10.4,26.2,13.5,14.4,3.4,17,17.6,4.2
Mikal Bridges,2,,SF,4200,PHO,LAC,1,115,13,10,104,109,9%,7,8,7,29,33,27,21.5,18.3,9.0,27.6,30.5,20.8,5.0,32.4,27.7,6.6
Rodney McGruder,,,SG,4100,MIA,WAS,1,109,16,11,104,110,-3%,9,8,10,22,24,31,15.0,21.7,13.9,29.5,19.5,13.5,3.3,19.2,6.5,1.6
Cory Joseph,2,,PG,4100,IND,@CHI,3,104,15,12,101,107,4%,3,6,7,27,25,26,19.9,21.7,14.3,29.1,23.5,17.6,4.3,31,13.8,3.4
Josh Jackson,3,,PF,4100,PHO,LAC,1,115,24,8,104,109,9%,9,8,9,20,23,22,18.5,19.3,10.0,28.6,21.5,20.0,4.9,17.9,20.0,4.9
Michael Beasley,,,SF,4000,LAL,NYK,1,115,,,103,112,6%,4,4,4,6,8,7,8.1,6.4,0.0,12.8,11.0,12.6,3.1,11.6,12.3,3.1
Richaun Holmes,3,,PF,4000,PHO,LAC,1,115,17,22,104,109,0%,4,4,5,12,15,16,18.2,18.7,9.1,28.2,15.5,18.0,4.5,20.6,39.8,9.9
Kelly Olynyk,1,,PF,4000,MIA,WAS,1,109,19,16,104,110,4%,6,5,7,27,23,22,19.0,20.5,10.8,30.1,19.5,18.4,4.6,7.8,3.2,0.8
Rodney Hood,1,,SF,4000,CLE,UTA,1,100,19,14,102,104,-13%,6,9,11,22,28,29,22.8,21.5,14.3,28.7,26.5,19.2,4.8,25.1,19.0,4.8
Garrett Temple,1,,SG,3900,MEM,BKN,1,104,14,10,101,109,-9%,9,7,8,32,33,33,20.0,20.3,12.3,28.3,31.0,18.2,4.7,40.6,13.8,3.5
Avery Bradley,1,,SG,3900,LAC,@PHO,2,119,14,5,102,111,1%,8,9,8,31,30,30,19.0,15.5,6.9,24.1,29.5,16.7,4.3,20.3,8.2,2.1
Derrick Jones Jr.,1,,SF,3900,MIA,WAS,1,109,16,16,104,110,-3%,10,5,5,28,21,18,18.3,17.0,4.5,29.5,14.0,12.4,3.2,19.9,10.8,2.8
Dwight Powell,,,PF,3900,DAL,@BOS,1,104,19,19,102,103,-8%,4,5,5,20,17,17,16.5,17.6,9.7,25.4,0.0,0.0,0.0,17.4,18.6,4.8
Dante Exum,3,,PG,3900,UTA,@CLE,2,109,22,12,99,113,13%,11,10,7,22,19,18,22.3,14.7,7.4,22.1,17.0,14.6,3.7,19.9,21.1,5.4
Ante Zizic,,O,C,3800,CLE,UTA,1,100,19,12,102,104,-7%,6,5,3,17,16,11,15.7,9.0,2.7,15.3,0.0,0.0,0.0,0,0.0,0.0
Mitchell Robinson,,O,C,3800,NYK,@LAL,2,108,10,17,106,105,8%,2,3,3,12,17,18,16.0,17.8,8.2,27.4,0.0,0.0,0.0,0,0.0,0.0
Patrick Beverley,1,,PG,3800,LAC,@PHO,2,119,14,10,102,111,9%,3,5,6,28,26,25,13.6,18.0,10.5,25.5,23.5,17.8,4.7,29.4,32.3,8.5
Seth Curry,,,PG,3800,POR,OKC,2,112,14,8,106,100,2%,8,6,5,21,18,18,14.0,9.4,2.9,15.8,18.0,12.2,3.2,16.1,8.1,2.1
Shaquille Harrison,,,PG,3800,CHI,IND,1,97,18,13,101,101,-11%,8,7,6,20,22,18,14.6,16.0,7.3,24.8,23.5,18.8,4.9,23.3,16.6,4.4
George Hill,1,,PG,3800,MIL,ATL,2,122,18,12,107,109,13%,6,6,7,22,22,25,16.2,17.1,8.1,26.1,22.5,17.5,4.6,16.6,20.1,5.3
Kelly Oubre,4,,SF,3800,PHO,LAC,1,115,20,13,104,109,9%,10,9,10,22,23,26,16.5,22.3,11.8,32.7,23.0,19.8,5.2,23.3,16.6,4.4
Dorian Finney-Smith,,,SF,3800,DAL,@BOS,1,104,13,11,102,103,-7%,9,5,6,23,22,26,15.6,18.3,10.6,26.0,19.5,12.7,3.3,17.9,6.4,1.7
Josh Okogie,2,,SG,3800,MIN,ORL,1,109,17,9,100,107,3%,5,4,6,22,18,19,12.7,14.5,4.7,24.4,31.0,25.2,6.6,33.2,19.5,5.1
Maxi Kleber,,,PF,3700,DAL,@BOS,1,104,14,14,102,103,-8%,2,5,5,15,23,18,17.7,16.4,8.7,24.1,10.5,8.4,2.3,0,0.0,0.0
Daniel Theis,2,,PF,3700,BOS,DAL,1,109,17,16,103,106,-3%,5,4,5,16,16,15,14.1,14.6,3.5,25.7,15.5,16.3,4.4,23.1,35.1,9.5
Tyson Chandler,1,,C,3700,LAL,NYK,1,115,8,12,103,112,8%,4,3,2,17,19,19,19.2,15.6,8.5,22.6,15.5,13.3,3.6,11.5,8.8,2.4
